frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
66,2.751,5,lifter,0.1721,773,1171,1084,1512,-4.5944,0.2128,11.3985,0.4869,1.0425,0.2276
67,2.792,1,lifter,0.7958,194,1066,466,1512,-4.2461,0.1924,10.5431,0.4475,0.9591,0.2077
67,2.792,2,lifter,0.7457,1583,736,1672,921,-4.7396,0.2215,11.7547,0.5035,1.0772,0.2352
67,2.792,3,lifter,0.672,218,684,349,923,-6.1446,0.3061,15.17,0.6481,1.3899,0.2873
67,2.792,4,lifter,0.2444,1341,1152,1665,1504,-5.2848,0.2572,13.0703,0.5563,1.1931,0.2496
67,2.792,5,lifter,0.1765,773,1171,1079,1512,-4.5859,0.2122,11.3777,0.486,1.0406,0.2272
68,2.834,1,lifter,0.7956,194,1066,466,1512,-4.2451,0.1924,10.5407,0.4474,0.9589,0.2076
68,2.834,2,lifter,0.7472,1583,738,1672,921,-4.7329,0.2211,11.7383,0.5027,1.0756,0.2348
68,2.834,3,lifter,0.6686,218,685,349,923,-6.1469,0.3063,15.1754,0.6483,1.3904,0.2874
68,2.834,4,lifter,0.2445,1341,1152,1665,1504,-5.2893,0.2575,13.0813,0.5568,1.1941,0.2499
68,2.834,5,lifter,0.1746,774,1171,1083,1512,-4.5903,0.2125,11.3885,0.4865,1.0416,0.2274
69,2.876,1,lifter,0.7967,194,1066,466,1512,-4.2429,0.1922,10.5354,0.4472,0.9584,0.2075
69,2.876,2,lifter,0.7454,1585,739,1672,921,-4.7026,0.2193,11.664,0.4994,1.0685,0.2332
69,2.876,3,lifter,0.6696,218,685,349,923,-6.1479,0.3063,15.178,0.6484,1.3907,0.2875
69,2.876,4,lifter,0.2373,1341,1152,1665,1504,-5.2676,0.2562,13.0281,0.5544,1.1891,0.2488
69,2.876,5,lifter,0.1728,774,1171,1088,1512,-4.5791,0.2119,11.3609,0.4852,1.0388,0.2267
70,2.917,1,lifter,0.7961,194,1066,466,1512,-4.2442,0.1923,10.5385,0.4473,0.9587,0.2076
70,2.917,2,lifter,0.7369,1590,737,1674,921,-4.6681,0.2173,11.5799,0.4956,1.0604,0.2314
70,2.917,3,lifter,0.6771,218,685,348,923,-6.1714,0.3077,15.2353,0.6509,1.3961,0.2886
70,2.917,4,lifter,0.2323,1341,1152,1665,1504,-5.2547,0.2554,12.9967,0.553,1.1862,0.2482
70,2.917,5,lifter,0.1727,773,1171,1086,1512,-4.5905,0.2125,11.3889,0.4865,1.0416,0.2273
71,2.959,1,lifter,0.7951,194,1066,466,1512,-4.2434,0.1923,10.5366,0.4472,0.9585,0.2075
71,2.959,2,lifter,0.7673,1592,735,1675,921,-4.6434,0.2158,11.5194,0.4929,1.0545,0.2301
71,2.959,3,lifter,0.6783,218,685,348,923,-6.1748,0.3079,15.2437,0.6513,1.3969,0.2887
71,2.959,4,lifter,0.2299,1341,1152,1666,1504,-5.2881,0.2574,13.0784,0.5566,1.1939,0.2498
71,2.959,5,lifter,0.1709,774,1171,1085,1512,-4.5849,0.2122,11.3752,0.4858,1.0402,0.227
72,3.001,1,lifter,0.7949,194,1066,466,1512,-4.2438,0.1923,10.5375,0.4473,0.9586,0.2076
72,3.001,2,lifter,0.7412,1592,735,1675,920,-4.6809,0.218,11.6111,0.497,1.0634,0.2321
72,3.001,3,lifter,0.6745,218,685,349,923,-6.1447,0.3061,15.17,0.6481,1.3899,0.2873
72,3.001,4,lifter,0.2344,1341,1152,1666,1504,-5.2873,0.2574,13.0763,0.5565,1.1937,0.2498
72,3.001,5,lifter,0.1709,773,1171,1085,1512,-4.5884,0.2124,11.3839,0.4862,1.0411,0.2272
